@timestamp,eventName,sourceIPAddress,userIdentity.arn,errorCode
2026-02-21 00:25:54.318,AssumeRole,cloudtrail.amazonaws.com,,
2026-02-21 00:23:44.223,ConsoleLogin,64.189.232.77,,
2026-02-21 00:23:44.223,ConsoleLogin,64.189.232.77,,
2026-02-21 00:22:36.969,DescribeEventAggregates,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.969,DescribeEventAggregates,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.969,GetFeatureOptInStatus,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.969,GetCostAndUsage,64.189.232.77,arn:aws:iam::690332903554:root,AccessDenied
2026-02-21 00:22:36.969,GetCostAndUsage,64.189.232.77,arn:aws:iam::690332903554:root,AccessDenied
2026-02-21 00:22:36.969,ListEnrollmentStatuses,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.969,ListNotificationHubs,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.969,GenerateDataKey,cloudtrail.amazonaws.com,,
2026-02-21 00:22:36.968,GetAccountColor,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.968,GetCostForecast,64.189.232.77,arn:aws:iam::690332903554:root,AccessDenied
2026-02-21 00:22:36.968,DescribeRegions,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.968,GetAccountPlanState,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:22:36.968,ListEnrollmentStatuses,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.800,ListAccountActivities,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.800,ListApplications,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.800,DescribeEventAggregates,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.800,GetFeatureOptInStatus,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.800,GetCostForecast,64.189.232.77,arn:aws:iam::690332903554:root,AccessDenied
2026-02-21 00:21:33.800,ListManagedNotificationEvents,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.800,GetCostAndUsage,64.189.232.77,arn:aws:iam::690332903554:root,AccessDenied
2026-02-21 00:21:33.800,ListApplications,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.799,GetAccountPlanState,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.799,GetAccountColor,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.799,ListManagedNotificationEvents,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.799,ListManagedNotificationEvents,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.799,GenerateDataKey,cloudtrail.amazonaws.com,,
2026-02-21 00:21:33.799,DescribeEventAggregates,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:33.799,DescribeEventAggregates,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:24.554,GenerateDataKey,cloudtrail.amazonaws.com,,
2026-02-21 00:21:24.554,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:24.554,DescribeMetricFilters,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:21:24.554,GetCostAndUsage,64.189.232.77,arn:aws:iam::690332903554:root,AccessDenied
2026-02-21 00:21:24.554,DescribeEventAggregates,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:20:26.384,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:20:26.384,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:20:26.384,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:20:26.384,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:20:26.384,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:19:23.438,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:19:23.438,ListManagedNotificationEvents,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:19:23.438,GenerateDataKey,cloudtrail.amazonaws.com,,
2026-02-21 00:17:25.729,GenerateDataKey,cloudtrail.amazonaws.com,,
2026-02-21 00:17:25.729,GenerateDataKey,cloudtrail.amazonaws.com,,
2026-02-21 00:17:25.729,DescribeAlarms,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:17:25.729,StartQuery,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:17:25.729,ListLogGroupsForQuery,64.189.232.77,arn:aws:iam::690332903554:root,
2026-02-21 00:17:25.729,GetQueryResults,logs.amazonaws.com,arn:aws:iam::690332903554:root,
